signal_id;source;source_row;business_key;signal_type;severity;field;raw_value;normalized_value;description;recommended_action
DQ-PROBE-13;STACJE;13;0417|2026-08-24|PB95;AWARYJNY_BRAK_ODCZYTU_SONDY;OSTRZEŻENIE;Stan konc. [l];n/d;BRAK DANYCH;Wartość 'n/d' w stanie końcowym zbiornika (potencjalna awaria sondy pomiarowej ATG);Zgłoszenie do serwisu automatyki stacyjnej i weryfikacja ręcznego pomiaru łatą.
DQ-ST-FMT-14;STACJE;14;0417|2026-08-24|PB98;NIESTANDARDOWY_KOD_STACJI;INFORMACYJNY;Kod stacji;417;0417;Brak zera wiodącego w kodzie stacji '417' -> uzupełniono do '0417';Dostosować generowanie raportu po stronie systemu POS stacji.
DQ-DT-FMT-15;STACJE;15;0417|2026-08-24|ON;NIESTANDARDOWY_FORMAT_DATY;INFORMACYJNY;Data;24.08.2026;2026-08-24;Format daty DD.MM.YYYY ('24.08.2026') zamiast ISO YYYY-MM-DD;Ujednolicić format daty w eksporcie POS.
DQ-ST-FMT-31;STACJE;31;0523|2026-08-26|PB95;NIESTANDARDOWY_KOD_STACJI;INFORMACYJNY;Kod stacji;523;0523;Brak zera wiodącego w kodzie stacji '523' -> uzupełniono do '0523';Dostosować generowanie raportu po stronie systemu POS stacji.
DQ-DT-FMT-38;STACJE;38;0688|2026-08-25|PB95;NIESTANDARDOWY_FORMAT_DATY;INFORMACYJNY;Data;25.08.2026;2026-08-25;Format daty DD.MM.YYYY ('25.08.2026') zamiast ISO YYYY-MM-DD;Ujednolicić format daty w eksporcie POS.
DQ-ST-FMT-48;STACJE;48;0701|2026-08-24|ON;NIESTANDARDOWY_KOD_STACJI;INFORMACYJNY;Kod stacji;701;0701;Brak zera wiodącego w kodzie stacji '701' -> uzupełniono do '0701';Dostosować generowanie raportu po stronie systemu POS stacji.
DQ-PROBE-50;STACJE;50;0701|2026-08-25|PB95;AWARYJNY_BRAK_ODCZYTU_SONDY;OSTRZEŻENIE;Stan konc. [l];n/d;BRAK DANYCH;Wartość 'n/d' w stanie końcowym zbiornika (potencjalna awaria sondy pomiarowej ATG);Zgłoszenie do serwisu automatyki stacyjnej i weryfikacja ręcznego pomiaru łatą.
DQ-DT-FMT-61;STACJE;61;0745|2026-08-24|LPG;NIESTANDARDOWY_FORMAT_DATY;INFORMACYJNY;Data;24.08.2026;2026-08-24;Format daty DD.MM.YYYY ('24.08.2026') zamiast ISO YYYY-MM-DD;Ujednolicić format daty w eksporcie POS.
DQ-ST-FMT-65;STACJE;65;0745|2026-08-25|LPG;NIESTANDARDOWY_KOD_STACJI;INFORMACYJNY;Kod stacji;745;0745;Brak zera wiodącego w kodzie stacji '745' -> uzupełniono do '0745';Dostosować generowanie raportu po stronie systemu POS stacji.
DQ-DT-FMT-84;STACJE;84;1133|2026-08-24|ON;NIESTANDARDOWY_FORMAT_DATY;INFORMACYJNY;Data;24.08.2026;2026-08-24;Format daty DD.MM.YYYY ('24.08.2026') zamiast ISO YYYY-MM-DD;Ujednolicić format daty w eksporcie POS.
DQ-PROBE-87;STACJE;87;1133|2026-08-25|ON;AWARYJNY_BRAK_ODCZYTU_SONDY;OSTRZEŻENIE;Stan konc. [l];n/d;BRAK DANYCH;Wartość 'n/d' w stanie końcowym zbiornika (potencjalna awaria sondy pomiarowej ATG);Zgłoszenie do serwisu automatyki stacyjnej i weryfikacja ręcznego pomiaru łatą.
DQ-DT-FMT-107;STACJE;107;1377|2026-08-25|PB95;NIESTANDARDOWY_FORMAT_DATY;INFORMACYJNY;Data;25.08.2026;2026-08-25;Format daty DD.MM.YYYY ('25.08.2026') zamiast ISO YYYY-MM-DD;Ujednolicić format daty w eksporcie POS.
